Timestamp,City,Weather Type,Latitude,Longitude,Temperature (°C),Feels Like (°C),Min Temp (°C),Max Temp (°C),Humidity (%),Pressure (hPa),Wind Speed (m/s),Wind Direction (°),Cloudiness (%),Weather Condition,Rain (Last 1h) (mm),Snow (Last 1h) (mm),Sunrise,Sunset,Rain (3h) (mm),Snow (3h) (mm)
2025-02-05 15:00:00.000000,Mumbai,Forecast,19.0144,72.8479,24.79,24.79,24.79,24.79,56,1011,8.67,344,0,clear sky,,,2025-02-03 01:42:11,2025-02-03 13:02:36,0.0,0.0
2025-02-05 18:00:00.000000,Mumbai,Forecast,19.0144,72.8479,24.78,24.62,24.78,24.78,50,1011,4.75,359,0,clear sky,,,2025-02-03 01:42:11,2025-02-03 13:02:36,0.0,0.0
2025-02-05 21:00:00.000000,Mumbai,Forecast,19.0144,72.8479,24.32,23.93,24.32,24.32,43,1009,4.33,3,0,clear sky,,,2025-02-03 01:42:11,2025-02-03 13:02:36,0.0,0.0
2025-02-06 00:00:00.000000,Mumbai,Forecast,19.0144,72.8479,23.87,23.28,23.87,23.87,37,1009,4.9,6,0,clear sky,,,2025-02-03 01:42:11,2025-02-03 13:02:36,0.0,0.0
2025-02-06 03:00:00.000000,Mumbai,Forecast,19.0144,72.8479,23.83,23.18,23.83,23.83,35,1011,4.07,17,1,clear sky,,,2025-02-03 01:42:11,2025-02-03 13:02:36,0.0,0.0
2025-02-06 06:00:00.000000,Mumbai,Forecast,19.0144,72.8479,26.02,26.02,26.02,26.02,39,1012,4.73,346,1,clear sky,,,2025-02-03 01:42:11,2025-02-03 13:02:36,0.0,0.0
2025-02-06 09:00:00.000000,Mumbai,Forecast,19.0144,72.8479,26.71,27.05,26.71,26.71,48,1008,6.94,319,0,clear sky,,,2025-02-03 01:42:11,2025-02-03 13:02:36,0.0,0.0
2025-02-06 12:00:00.000000,Mumbai,Forecast,19.0144,72.8479,25.84,25.94,25.84,25.84,56,1008,7.05,322,0,clear sky,,,2025-02-03 01:42:11,2025-02-03 13:02:36,0.0,0.0
2025-02-06 15:00:00.000000,Mumbai,Forecast,19.0144,72.8479,25.66,25.87,25.66,25.66,61,1010,5.6,341,0,clear sky,,,2025-02-03 01:42:11,2025-02-03 13:02:36,0.0,0.0
2025-02-06 18:00:00.000000,Mumbai,Forecast,19.0144,72.8479,25.84,26.05,25.84,25.84,60,1010,2.18,15,0,clear sky,,,2025-02-03 01:42:11,2025-02-03 13:02:36,0.0,0.0
2025-02-06 21:00:00.000000,Mumbai,Forecast,19.0144,72.8479,25.48,25.55,25.48,25.48,56,1009,1.45,103,0,clear sky,,,2025-02-03 01:42:11,2025-02-03 13:02:36,0.0,0.0
2025-02-07 00:00:00.000000,Mumbai,Forecast,19.0144,72.8479,25.14,25.17,25.14,25.14,56,1009,1.61,94,0,clear sky,,,2025-02-03 01:42:11,2025-02-03 13:02:36,0.0,0.0
2025-02-07 03:00:00.000000,Mumbai,Forecast,19.0144,72.8479,25.45,25.36,25.45,25.45,50,1011,2.66,83,0,clear sky,,,2025-02-03 01:42:11,2025-02-03 13:02:36,0.0,0.0
2025-02-07 06:00:00.000000,Mumbai,Forecast,19.0144,72.8479,27.74,27.93,27.74,27.74,47,1012,1.13,153,0,clear sky,,,2025-02-03 01:42:11,2025-02-03 13:02:36,0.0,0.0
2025-02-07 09:00:00.000000,Mumbai,Forecast,19.0144,72.8479,27.09,27.63,27.09,27.09,52,1009,5.74,255,0,clear sky,,,2025-02-03 01:42:11,2025-02-03 13:02:36,0.0,0.0
2025-02-07 12:00:00.000000,Mumbai,Forecast,19.0144,72.8479,26.58,26.58,26.58,26.58,62,1009,5.4,301,0,clear sky,,,2025-02-03 01:42:11,2025-02-03 13:02:36,0.0,0.0
2025-02-07 15:00:00.000000,Mumbai,Forecast,19.0144,72.8479,26.0,26.0,26.0,26.0,65,1011,1.83,3,0,clear sky,,,2025-02-03 01:42:11,2025-02-03 13:02:36,0.0,0.0
2025-02-07 18:00:00.000000,Mumbai,Forecast,19.0144,72.8479,26.04,26.04,26.04,26.04,62,1011,1.46,148,0,clear sky,,,2025-02-03 01:42:11,2025-02-03 13:02:36,0.0,0.0
2025-02-07 21:00:00.000000,Mumbai,Forecast,19.0144,72.8479,25.79,26.02,25.79,25.79,61,1009,1.28,111,1,clear sky,,,2025-02-03 01:42:11,2025-02-03 13:02:36,0.0,0.0
2025-02-08 00:00:00.000000,Mumbai,Forecast,19.0144,72.8479,25.56,25.79,25.56,25.56,62,1009,0.9,359,3,clear sky,,,2025-02-03 01:42:11,2025-02-03 13:02:36,0.0,0.0
2025-02-08 03:00:00.000000,Mumbai,Forecast,19.0144,72.8479,25.72,25.81,25.72,25.72,56,1011,2.08,120,6,clear sky,,,2025-02-03 01:42:11,2025-02-03 13:02:36,0.0,0.0
2025-02-08 06:00:00.000000,Mumbai,Forecast,19.0144,72.8479,26.95,27.49,26.95,26.95,52,1012,1.41,226,4,clear sky,,,2025-02-03 01:42:11,2025-02-03 13:02:36,0.0,0.0
2025-02-08 09:00:00.000000,Mumbai,Forecast,19.0144,72.8479,26.63,26.63,26.63,26.63,60,1009,4.45,238,0,clear sky,,,2025-02-03 01:42:11,2025-02-03 13:02:36,0.0,0.0
2025-02-03 11:00:41.698482,Delhi,Current,28.6667,77.2167,22.05,21.17,22.05,22.05,33,1012,2.06,260,4,haze,0.0,0.0,2025-02-03 01:38:16,2025-02-03 12:31:34,,
2025-02-03 12:00:00.000000,Delhi,Forecast,28.6667,77.2167,22.05,21.17,22.05,23.07,33,1012,2.34,279,3,clear sky,,,2025-02-03 01:38:16,2025-02-03 12:31:34,0.0,0.0
2025-02-03 15:00:00.000000,Delhi,Forecast,28.6667,77.2167,21.51,20.55,20.42,21.51,32,1013,1.22,330,2,clear sky,,,2025-02-03 01:38:16,2025-02-03 12:31:34,0.0,0.0
2025-02-03 18:00:00.000000,Delhi,Forecast,28.6667,77.2167,20.04,18.96,19.04,20.04,33,1014,0.85,84,10,clear sky,,,2025-02-03 01:38:16,2025-02-03 12:31:34,0.0,0.0
2025-02-03 21:00:00.000000,Delhi,Forecast,28.6667,77.2167,18.65,17.38,18.65,18.65,31,1013,0.78,346,46,scattered clouds,,,2025-02-03 01:38:16,2025-02-03 12:31:34,0.0,0.0
2025-02-04 00:00:00.000000,Delhi,Forecast,28.6667,77.2167,17.83,16.5,17.83,17.83,32,1013,1.0,129,65,broken clouds,,,2025-02-03 01:38:16,2025-02-03 12:31:34,0.0,0.0
2025-02-04 03:00:00.000000,Delhi,Forecast,28.6667,77.2167,19.01,17.72,19.01,19.01,29,1014,2.39,73,99,overcast clouds,,,2025-02-03 01:38:16,2025-02-03 12:31:34,0.0,0.0
2025-02-04 06:00:00.000000,Delhi,Forecast,28.6667,77.2167,24.21,23.47,24.21,24.21,30,1015,4.07,161,89,overcast clouds,,,2025-02-03 01:38:16,2025-02-03 12:31:34,0.0,0.0
2025-02-04 09:00:00.000000,Delhi,Forecast,28.6667,77.2167,23.08,22.72,23.08,23.08,49,1012,2.99,211,99,overcast clouds,,,2025-02-03 01:38:16,2025-02-03 12:31:34,0.0,0.0
2025-02-04 12:00:00.000000,Delhi,Forecast,28.6667,77.2167,22.02,21.58,22.02,22.02,50,1011,3.12,184,54,broken clouds,,,2025-02-03 01:38:16,2025-02-03 12:31:34,0.0,0.0
2025-02-04 15:00:00.000000,Delhi,Forecast,28.6667,77.2167,19.77,19.4,19.77,19.77,61,1012,2.18,155,2,clear sky,,,2025-02-03 01:38:16,2025-02-03 12:31:34,0.0,0.0
2025-02-04 18:00:00.000000,Delhi,Forecast,28.6667,77.2167,18.28,17.83,18.28,18.28,64,1013,2.38,207,1,clear sky,,,2025-02-03 01:38:16,2025-02-03 12:31:34,0.0,0.0
2025-02-04 21:00:00.000000,Delhi,Forecast,28.6667,77.2167,16.85,16.18,16.85,16.85,61,1012,1.64,291,0,clear sky,,,2025-02-03 01:38:16,2025-02-03 12:31:34,0.0,0.0
2025-02-05 00:00:00.000000,Delhi,Forecast,28.6667,77.2167,15.37,14.61,15.37,15.37,63,1013,2.05,315,0,clear sky,,,2025-02-03 01:38:16,2025-02-03 12:31:34,0.0,0.0
2025-02-05 03:00:00.000000,Delhi,Forecast,28.6667,77.2167,16.28,15.14,16.28,16.28,45,1015,2.43,296,0,clear sky,,,2025-02-03 01:38:16,2025-02-03 12:31:34,0.0,0.0
2025-02-05 06:00:00.000000,Delhi,Forecast,28.6667,77.2167,23.0,21.85,23.0,23.0,19,1015,3.21,296,0,clear sky,,,2025-02-03 01:38:16,2025-02-03 12:31:34,0.0,0.0
2025-02-05 09:00:00.000000,Delhi,Forecast,28.6667,77.2167,25.22,24.11,25.22,25.22,12,1012,4.56,287,0,clear sky,,,2025-02-03 01:38:16,2025-02-03 12:31:34,0.0,0.0
2025-02-05 12:00:00.000000,Delhi,Forecast,28.6667,77.2167,22.74,21.46,22.74,22.74,15,1012,3.36,289,0,clear sky,,,2025-02-03 01:38:16,2025-02-03 12:31:34,0.0,0.0
2025-02-05 15:00:00.000000,Delhi,Forecast,28.6667,77.2167,19.09,17.68,19.09,19.09,24,1014,2.79,290,0,clear sky,,,2025-02-03 01:38:16,2025-02-03 12:31:34,0.0,0.0
2025-02-05 18:00:00.000000,Delhi,Forecast,28.6667,77.2167,16.99,15.32,16.99,16.99,22,1015,2.63,295,0,clear sky,,,2025-02-03 01:38:16,2025-02-03 12:31:34,0.0,0.0
2025-02-05 21:00:00.000000,Delhi,Forecast,28.6667,77.2167,15.08,13.24,15.08,15.08,23,1015,3.06,319,0,clear sky,,,2025-02-03 01:38:16,2025-02-03 12:31:34,0.0,0.0
2025-02-06 00:00:00.000000,Delhi,Forecast,28.6667,77.2167,13.93,11.9,13.93,13.93,20,1015,3.26,320,0,clear sky,,,2025-02-03 01:38:16,2025-02-03 12:31:34,0.0,0.0
2025-02-06 03:00:00.000000,Delhi,Forecast,28.6667,77.2167,14.89,12.96,14.89,14.89,20,1017,3.1,317,0,clear sky,,,2025-02-03 01:38:16,2025-02-03 12:31:34,0.0,0.0
2025-02-06 06:00:00.000000,Delhi,Forecast,28.6667,77.2167,22.69,21.41,22.69,22.69,15,1016,4.6,323,0,clear sky,,,2025-02-03 01:38:16,2025-02-03 12:31:34,0.0,0.0
2025-02-06 09:00:00.000000,Delhi,Forecast,28.6667,77.2167,25.67,24.58,25.67,25.67,11,1013,5.18,314,0,clear sky,,,2025-02-03 01:38:16,2025-02-03 12:31:34,0.0,0.0
2025-02-06 12:00:00.000000,Delhi,Forecast,28.6667,77.2167,23.67,22.46,23.67,23.67,14,1012,3.92,297,2,clear sky,,,2025-02-03 01:38:16,2025-02-03 12:31:34,0.0,0.0
2025-02-06 15:00:00.000000,Delhi,Forecast,28.6667,77.2167,19.7,18.2,19.7,19.7,18,1015,3.63,286,64,broken clouds,,,2025-02-03 01:38:16,2025-02-03 12:31:34,0.0,0.0
2025-02-06 18:00:00.000000,Delhi,Forecast,28.6667,77.2167,17.71,15.95,17.71,17.71,16,1015,4.05,308,76,broken clouds,,,2025-02-03 01:38:16,2025-02-03 12:31:34,0.0,0.0
2025-02-06 21:00:00.000000,Delhi,Forecast,28.6667,77.2167,15.94,14.09,15.94,15.94,19,1015,3.61,312,35,scattered clouds,,,2025-02-03 01:38:16,2025-02-03 12:31:34,0.0,0.0
2025-02-07 00:00:00.000000,Delhi,Forecast,28.6667,77.2167,14.7,12.77,14.7,14.7,21,1014,3.87,307,34,scattered clouds,,,2025-02-03 01:38:16,2025-02-03 12:31:34,0.0,0.0
2025-02-07 03:00:00.000000,Delhi,Forecast,28.6667,77.2167,15.1,13.32,15.1,15.1,25,1016,4.5,305,29,scattered clouds,,,2025-02-03 01:38:16,2025-02-03 12:31:34,0.0,0.0
2025-02-07 06:00:00.000000,Delhi,Forecast,28.6667,77.2167,21.49,20.14,21.49,21.49,17,1016,5.02,300,15,few clouds,,,2025-02-03 01:38:16,2025-02-03 12:31:34,0.0,0.0
2025-02-07 09:00:00.000000,Delhi,Forecast,28.6667,77.2167,24.82,23.67,24.82,24.82,12,1013,5.81,299,4,clear sky,,,2025-02-03 01:38:16,2025-02-03 12:31:34,0.0,0.0
2025-02-07 12:00:00.000000,Delhi,Forecast,28.6667,77.2167,23.07,21.82,23.07,23.07,15,1013,3.91,280,3,clear sky,,,2025-02-03 01:38:16,2025-02-03 12:31:34,0.0,0.0
2025-02-07 15:00:00.000000,Delhi,Forecast,28.6667,77.2167,19.13,17.7,19.13,19.13,23,1014,3.34,280,25,scattered clouds,,,2025-02-03 01:38:16,2025-02-03 12:31:34,0.0,0.0
